crush_mm,baseline_H300,H0_perfectplastic,elastic_yield0,thickness_update
12,381,348,801,376
24,784,526,1674,754
36,1107,617,2426,1050
48,1425,690,3154,1338
60,1754,,,1631
72,2087,756,3818,1925
84,2570,,,2311
