t,V,amp_GM,amp_YL
147.6000,7.3800,3.425715e-13,3.936339e-13
148.8000,7.4400,5.341361e-13,4.038939e-13
150.0000,7.5000,5.438783e-13,4.677916e-13
151.2000,7.5600,4.292356e-13,3.994140e-13
152.4000,7.6200,4.438637e-13,3.767108e-13
153.6000,7.6800,5.929189e-13,5.038964e-13
154.8000,7.7400,3.480992e-13,4.243567e-13
156.0000,7.8000,3.700434e-13,4.369716e-13
157.2000,7.8600,5.294437e-13,3.774420e-13
158.4000,7.9200,3.829454e-13,5.679710e-13
159.6000,7.9800,4.872179e-13,4.976280e-13
160.8000,8.0400,5.435062e-13,4.112856e-13
162.0000,8.1000,4.947778e-13,4.970746e-13
163.2000,8.1600,4.923128e-13,5.157680e-13
164.4000,8.2200,4.234616e-13,5.893289e-13
165.6000,8.2800,3.819688e-13,5.129074e-13
166.8000,8.3400,4.709236e-13,5.084353e-13
168.0000,8.4000,5.635666e-13,4.876221e-13
169.2000,8.4600,4.857694e-13,4.965525e-13
170.4000,8.5200,4.530976e-13,4.990505e-13
171.6000,8.5800,4.338561e-13,4.870097e-13
172.8000,8.6400,5.564594e-13,5.652197e-13
174.0000,8.7000,4.195949e-13,4.779718e-13
175.2000,8.7600,4.672148e-13,5.036110e-13
176.4000,8.8200,4.882327e-13,4.446391e-13
177.6000,8.8800,5.596374e-13,5.169736e-13
178.8000,8.9400,5.370444e-13,3.947970e-13
180.0000,9.0000,3.994530e-13,7.033402e-13
181.2000,9.0600,4.648313e-13,5.194230e-13
182.4000,9.1200,5.136568e-13,4.879916e-13
183.6000,9.1800,4.391036e-13,4.722576e-13
184.8000,9.2400,3.941448e-13,4.925140e-13
186.0000,9.3000,5.115196e-13,5.104268e-13
187.2000,9.3600,5.038383e-13,5.545078e-13
188.4000,9.4200,7.151606e-13,5.611709e-13
189.6000,9.4800,4.820467e-13,5.116393e-13
190.8000,9.5400,5.781452e-13,5.029310e-13
192.0000,9.6000,4.260880e-13,7.493468e-13
193.2000,9.6600,4.256023e-13,5.141478e-13
194.4000,9.7200,4.571395e-13,4.795435e-13
195.6000,9.7800,4.464745e-13,5.963546e-13
196.8000,9.8400,3.943373e-13,5.623037e-13
198.0000,9.9000,4.688108e-13,4.361372e-13
199.2000,9.9600,5.300985e-13,5.422832e-13
200.4000,10.0200,5.238119e-13,5.376151e-13
201.6000,10.0800,3.942523e-13,4.785894e-13
202.8000,10.1400,5.801904e-13,6.435096e-13
204.0000,10.2000,4.863020e-13,5.255935e-13
205.2000,10.2600,5.324144e-13,6.093424e-13
206.4000,10.3200,5.274791e-13,4.861909e-13
207.6000,10.3800,5.901477e-13,6.452009e-13
208.8000,10.4400,4.564127e-13,4.522563e-13
210.0000,10.5000,5.736262e-13,6.207517e-13
211.2000,10.5600,5.781330e-13,6.065599e-13
212.4000,10.6200,4.992066e-13,4.950224e-13
213.6000,10.6800,5.067769e-13,5.887686e-13
214.8000,10.7400,5.687933e-13,5.439312e-13
216.0000,10.8000,5.565184e-13,4.612664e-13
217.2000,10.8600,5.817378e-13,4.801472e-13
218.4000,10.9200,5.183302e-13,4.453087e-13
219.6000,10.9800,5.422832e-13,6.492602e-13
220.8000,11.0400,9.185951e-13,5.839721e-13
222.0000,11.1000,5.381338e-13,6.173655e-13
223.2000,11.1600,4.706791e-13,6.119584e-13
224.4000,11.2200,5.089540e-13,5.302495e-13
225.6000,11.2800,5.419346e-13,4.703425e-13
226.8000,11.3400,5.508025e-13,6.613529e-13
228.0000,11.4000,5.380765e-13,5.080485e-13
229.2000,11.4600,5.747729e-13,5.630774e-13
230.4000,11.5200,5.096930e-13,4.975013e-13
231.6000,11.5800,6.206251e-13,5.074136e-13
232.8000,11.6400,5.635249e-13,5.247018e-13
234.0000,11.7000,4.678237e-13,6.212669e-13
235.2000,11.7600,5.411435e-13,6.562771e-13
236.4000,11.8200,5.146022e-13,6.457404e-13
237.6000,11.8800,4.197094e-13,5.318350e-13
238.8000,11.9400,4.531236e-13,5.688471e-13
240.0000,12.0000,4.204449e-13,5.490192e-13
241.2000,12.0600,7.322441e-13,5.958498e-13
242.4000,12.1200,3.814171e-13,5.782631e-13
243.6000,12.1800,5.945210e-13,5.134157e-13
244.8000,12.2400,6.203302e-13,6.694367e-13
246.0000,12.3000,4.769483e-13,6.231994e-13
247.2000,12.3600,4.156397e-13,6.888899e-13
248.4000,12.4200,5.682607e-13,5.377261e-13
249.6000,12.4800,4.561664e-13,5.297082e-13
250.8000,12.5400,5.493626e-13,5.922624e-13
252.0000,12.6000,5.146751e-13,6.979105e-13
253.2000,12.6600,5.729653e-13,5.163127e-13
254.4000,12.7200,5.491198e-13,7.931572e-13
255.6000,12.7800,6.175477e-13,5.737147e-13
256.8000,12.8400,5.577275e-13,6.065495e-13
258.0000,12.9000,5.511043e-13,5.323450e-13
